company_name,funding_amount,industry,location,funding_rounds,founding_year,data_source,is_early_stage,is_startup,funding_category
OpenAI,11300000000,Artificial Intelligence,San Francisco,8,2015,Crunchbase,,True,Mega Round (>$100M)
Anthropic,4100000000,Artificial Intelligence,San Francisco,3,2021,Crunchbase,,True,Mega Round (>$100M)
Databricks,3500000000,Data & Analytics,San Francisco,10,2013,Crunchbase,,True,Mega Round (>$100M)
Stripe,2200000000,FinTech,San Francisco,16,2010,Crunchbase,,True,Mega Round (>$100M)
Together AI,505000000,Artificial Intelligence,San Francisco,3,2022,Crunchbase,,True,Mega Round (>$100M)
Harvey,400000000,"Legal Tech, AI",San Francisco,3,2022,Crunchbase,,True,Mega Round (>$100M)
Airtable,735000000,Software,San Francisco,7,2012,Crunchbase,,True,Mega Round (>$100M)
Plaid,734000000,FinTech,San Francisco,8,2013,Crunchbase,,True,Mega Round (>$100M)
Notion,343000000,Productivity,San Francisco,6,2016,Crunchbase,,True,Mega Round (>$100M)
BayArea Startup 1,20000000,Hardware,San Mateo,2,2023,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 2,100000000,MarTech,Sunnyvale,3,2022,Crunchbase,,True,Late Stage (≤$100M)
BayArea Startup 3,1000000,CleanTech,San Francisco,3,2021,Crunchbase,,True,Seed Stage (≤$1M)
BayArea Startup 4,20000000,Hardware,San Jose,4,2020,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 5,500000,Hardware,Mountain View,3,2021,Crunchbase,,True,Seed Stage (≤$1M)
BayArea Startup 6,10000000,PropTech,Sunnyvale,4,2019,Crunchbase,,True,Early Stage (≤$10M)
BayArea Startup 7,5000000,SaaS,Mountain View,5,2019,Crunchbase,,True,Early Stage (≤$10M)
BayArea Startup 8,100000000,FinTech,San Jose,2,2020,Crunchbase,,True,Late Stage (≤$100M)
BayArea Startup 9,1000000,AgTech,Sunnyvale,5,2024,Crunchbase,,True,Seed Stage (≤$1M)
BayArea Startup 10,50000000,PropTech,Menlo Park,3,2020,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 11,2000000,MarTech,San Francisco,4,2023,Crunchbase,,True,Early Stage (≤$10M)
BayArea Startup 12,15000000,Robotics,Berkeley,4,2022,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 13,15000000,MarTech,San Francisco,4,2018,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 14,100000000,Cybersecurity,San Mateo,4,2024,Crunchbase,,True,Late Stage (≤$100M)
BayArea Startup 15,5000000,HealthTech,Mountain View,1,2023,Crunchbase,,True,Early Stage (≤$10M)
BayArea Startup 16,100000000,MarTech,Oakland,2,2023,Crunchbase,,True,Late Stage (≤$100M)
BayArea Startup 17,15000000,HealthTech,Mountain View,1,2020,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 18,100000000,MarTech,Redwood City,3,2019,Crunchbase,,True,Late Stage (≤$100M)
BayArea Startup 19,15000000,FinTech,San Jose,2,2022,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 20,20000000,PropTech,San Francisco,5,2024,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 21,100000000,CleanTech,Palo Alto,5,2020,Crunchbase,,True,Late Stage (≤$100M)
BayArea Startup 22,2000000,FinTech,San Mateo,3,2021,Crunchbase,,True,Early Stage (≤$10M)
BayArea Startup 23,15000000,CleanTech,Palo Alto,3,2018,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 24,15000000,Hardware,Palo Alto,2,2021,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 25,500000,E-commerce,San Mateo,5,2021,Crunchbase,,True,Seed Stage (≤$1M)
BayArea Startup 26,500000,Robotics,San Francisco,1,2019,Crunchbase,,True,Seed Stage (≤$1M)
BayArea Startup 27,15000000,FinTech,San Francisco,4,2018,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 28,1000000,AgTech,Sunnyvale,3,2024,Crunchbase,,True,Seed Stage (≤$1M)
BayArea Startup 29,15000000,AI,Oakland,5,2020,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 30,10000000,Biotech,Menlo Park,4,2024,Crunchbase,,True,Early Stage (≤$10M)
BayArea Startup 31,15000000,FinTech,Berkeley,2,2022,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 32,1000000,Robotics,Oakland,1,2022,Crunchbase,,True,Seed Stage (≤$1M)
BayArea Startup 33,2000000,MarTech,Menlo Park,5,2023,Crunchbase,,True,Early Stage (≤$10M)
BayArea Startup 34,5000000,FinTech,Redwood City,2,2023,Crunchbase,,True,Early Stage (≤$10M)
BayArea Startup 35,500000,PropTech,Palo Alto,3,2021,Crunchbase,,True,Seed Stage (≤$1M)
BayArea Startup 36,5000000,MarTech,San Mateo,2,2020,Crunchbase,,True,Early Stage (≤$10M)
BayArea Startup 37,15000000,Hardware,Berkeley,4,2020,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 38,100000000,EdTech,Mountain View,4,2024,Crunchbase,,True,Late Stage (≤$100M)
BayArea Startup 39,20000000,FinTech,Oakland,1,2018,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 40,20000000,SaaS,Sunnyvale,1,2023,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 41,50000000,CleanTech,Menlo Park,1,2023,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 42,2000000,SaaS,Sunnyvale,2,2022,Crunchbase,,True,Early Stage (≤$10M)
BayArea Startup 43,2000000,MarTech,Redwood City,1,2022,Crunchbase,,True,Early Stage (≤$10M)
BayArea Startup 44,50000000,AgTech,San Mateo,3,2019,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 45,1000000,E-commerce,San Jose,5,2018,Crunchbase,,True,Seed Stage (≤$1M)
BayArea Startup 46,20000000,AI,Palo Alto,5,2018,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 47,500000,EdTech,Palo Alto,1,2022,Crunchbase,,True,Seed Stage (≤$1M)
BayArea Startup 48,15000000,Biotech,San Mateo,4,2021,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 49,15000000,CleanTech,Oakland,5,2023,Crunchbase,,True,Growth Stage (≤$50M)
BayArea Startup 50,1000000,Biotech,Sunnyvale,1,2021,Crunchbase,,True,Seed Stage (≤$1M)
