company_name,funding_amount,funding_stage,industry,announced_date,location,data_source,is_early_stage,is_startup,funding_category
Alumis,259000000,Series C,BioTech,2024-03-15,San Francisco,Recent News,False,True,Mega Round (>$100M)
Applied Intuition,250000000,Series E,Autonomous Vehicles,2024-03-12,Mountain View,Recent News,False,True,Mega Round (>$100M)
inDrive,150000000,Series D,Mobility,2024-03-08,Mountain View,Recent News,False,True,Mega Round (>$100M)
Observe,115000000,Series C,Data Analytics,2024-03-05,San Mateo,Recent News,False,True,Mega Round (>$100M)
Nozomi Networks,100000000,Series E,Cybersecurity,2024-03-01,San Francisco,Recent News,False,True,Late Stage (≤$100M)
Together AI,305000000,Series B,AI,2025-01-30,San Francisco,Recent News,False,True,Mega Round (>$100M)
Harvey,300000000,Series D,"Legal Tech, AI",2025-01-25,San Francisco,Recent News,False,True,Mega Round (>$100M)
Baseten,75000000,Series C,AI Infrastructure,2025-02-10,San Francisco,Recent News,False,True,Late Stage (≤$100M)
Manas AI,24600000,Seed,AI,2025-02-15,San Francisco,Recent News,True,True,Growth Stage (≤$50M)
Savant Labs,18500000,Series A,AI Data,2025-02-20,San Francisco,Recent News,True,True,Growth Stage (≤$50M)
